Date,Country,Province,Confirmed,Infected,Fatal,Recovered
2020-02-06,Japan,-,25,21,0,4
2020-02-07,Japan,-,25,21,0,4
2020-02-10,Japan,-,26,17,0,9
2020-02-12,Japan,-,28,18,0,10
2020-02-13,Japan,-,29,18,0,11
2020-02-14,Japan,-,33,21,0,12
2020-02-17,Japan,-,59,42,1,16
2020-02-18,Japan,-,66,49,1,16
2020-02-19,Japan,-,73,54,1,18
2020-02-20,Japan,-,84,63,1,20
2020-02-21,Japan,-,93,72,1,20
2020-02-22,Japan,-,105,80,1,24
2020-02-23,Japan,-,129,104,1,24
2020-02-24,Japan,-,141,114,1,26
2020-02-25,Japan,-,155,136,1,18
2020-02-26,Japan,-,164,131,1,32
2020-02-27,Japan,-,186,143,3,40
2020-02-28,Japan,-,210,165,4,41
2020-02-29,Japan,-,230,179,5,46
2020-03-01,Japan,-,239,188,5,46
2020-03-02,Japan,-,254,201,6,47
2020-03-03,Japan,-,268,212,6,50
2020-03-04,Japan,-,284,226,6,52
2020-03-05,Japan,-,318,259,6,53
2020-03-06,Japan,-,349,272,6,71
2020-03-07,Japan,-,408,324,6,78
2020-03-08,Japan,-,455,367,6,82
2020-03-09,Japan,-,488,378,7,103
2020-03-10,Japan,-,514,401,9,104
2020-03-11,Japan,-,568,438,12,118
2020-03-12,Japan,-,624,486,15,123
2020-03-13,Japan,-,676,522,19,135
2020-03-14,Japan,-,716,551,21,144
2020-03-15,Japan,-,780,601,22,157
2020-03-16,Japan,-,814,626,24,164
2020-03-17,Japan,-,829,630,28,171
2020-03-18,Japan,-,873,653,29,191
2020-03-19,Japan,-,914,668,31,215
2020-03-20,Japan,-,950,690,33,227
2020-03-21,Japan,-,1007,740,35,232
2020-03-22,Japan,-,1046,738,36,272
2020-03-23,Japan,-,1089,773,41,275
2020-03-24,Japan,-,1128,785,42,301
2020-03-25,Japan,-,1193,840,43,310
2020-03-26,Japan,-,1292,888,45,359
2020-03-27,Japan,-,1387,969,46,372
2020-03-28,Japan,-,1499,1046,49,404
2020-03-29,Japan,-,1693,1217,52,424
2020-03-30,Japan,-,1866,1388,54,424
2020-03-31,Japan,-,1953,1473,56,424
2020-04-01,Japan,-,2178,1649,57,472
2020-04-02,Japan,-,2381,1816,60,505
2020-04-03,Japan,-,2617,2040,63,514
2020-04-04,Japan,-,2935,2291,69,575
2020-04-05,Japan,-,3271,2617,70,584
2020-04-06,Japan,-,3654,2989,73,592
2020-04-07,Japan,-,3906,3204,80,622
2020-04-08,Japan,-,4257,3544,81,632
2020-04-09,Japan,-,4768,3998,85,685
2020-04-10,Japan,-,5347,4545,88,714
2020-04-11,Japan,-,6005,5149,94,762
2020-04-12,Japan,-,6748,5866,98,784
2020-04-13,Japan,-,7255,6354,102,799
2020-04-14,Japan,-,7645,6683,109,853
2020-04-15,Japan,-,8100,7080,119,901
2020-04-16,Japan,-,8582,7511,136,935
2020-04-17,Japan,-,9167,8007,148,1012
2020-04-18,Japan,-,9795,8572,154,1069
2020-04-19,Japan,-,10361,9041,161,1159
2020-04-20,Japan,-,10751,9341,171,1239
2020-04-21,Japan,-,11119,9577,186,1356
2020-04-22,Japan,-,11496,9179,277,2040
2020-04-23,Japan,-,11919,9224,287,2408
2020-04-24,Japan,-,12388,9535,317,2536
2020-04-25,Japan,-,12829,9833,334,2662
2020-04-26,Japan,-,13182,10019,348,2815
2020-04-27,Japan,-,13385,10129,351,2905
2020-04-28,Japan,-,13576,10013,376,3187
2020-04-29,Japan,-,13852,10089,389,3374
2020-04-30,Japan,-,14088,10207,415,3466
2020-05-01,Japan,-,14281,9868,432,3981
2020-05-02,Japan,-,14544,9875,458,4211
2020-05-03,Japan,-,14839,9962,492,4385
2020-05-04,Japan,-,15057,10051,510,4496
2020-05-05,Japan,-,15231,10123,521,4587
2020-05-06,Japan,-,15354,9893,543,4918
2020-05-07,Japan,-,15463,9766,551,5146
2020-05-08,Japan,-,15547,9084,557,5906
2020-05-09,Japan,-,15649,6922,600,8127
2020-05-10,Japan,-,15747,6841,613,8293
2020-05-11,Japan,-,15798,6646,621,8531
2020-05-12,Japan,-,15874,6311,643,8920
2020-05-13,Japan,-,16024,5488,668,9868
2020-05-14,Japan,-,16079,5054,687,10338
